condition_name,category,investigation
Exfoliative Dermatitis (Erythroderma),Dermatological,Full blood count and differentials
Exfoliative Dermatitis (Erythroderma),Dermatological,ESR
Exfoliative Dermatitis (Erythroderma),Dermatological,Urea and Electrolytes
Exfoliative Dermatitis (Erythroderma),Dermatological,Histopathology
Exfoliative Dermatitis (Erythroderma),Dermatological,Blood culture
Falls,Geriatric,"Should be tailored to identify underlying causes e.g. anaemia, arrhythmias, electrolyte imbalance, infections, etc."
Falls,Geriatric,Additional Investigations to confirm or rule out Complications as indicated by clinical presentation
Fevers,Infectious/Tropical,FBC and differential WBC
Fevers,Infectious/Tropical,"Urinalysis, with examination of the urinary sediment"
Fevers,Infectious/Tropical,Examination of any abnormal fluid collection
Fevers,Infectious/Tropical,Rapid diagnostic tests for infectious antigen or antibody
Fevers,Infectious/Tropical,Blood smear for malaria parasites
Fevers,Infectious/Tropical,Serology - detection of pathogen antigen or antibody
Fevers,Infectious/Tropical,"Nucleic acid-based techniques for detection of pathogens (e.g., polymerase chain reaction)"
Fevers,Infectious/Tropical,"Microscopy, culture, and sensitivity of specimens from body fluids and mucosal surfaces"
Fevers,Infectious/Tropical,Urine examination
Fevers,Infectious/Tropical,"Serum urea, electrolytes, and creatinine"
Fevers,Infectious/Tropical,Blood glucose
Fevers,Infectious/Tropical,Liver function tests
Fevers,Infectious/Tropical,Cerebrospinal fluid examination
Fevers,Infectious/Tropical,Chest radiograph
Food Poisoning,Infectious/Tropical,Essentially clinical
Food Poisoning,Infectious/Tropical,Laboratory confirmation of the specific microbe(s) involved.
Foreign Bodies in the Airways,Surgical/Emergency,Radiograph of neck and chest
Foreign Bodies in the Ear,"ENT (Ear, Nose & Throat)",Ear Endoscopy
Foreign Bodies in the Ear,"ENT (Ear, Nose & Throat)",Xray of petromastoid
Foreign Bodies in the Ear,"ENT (Ear, Nose & Throat)",CT Scan of petromastoid
Foreign Bodies in the Nose and Rhinoliths,"ENT (Ear, Nose & Throat)",Nasal endoscopy
Foreign Bodies in the Nose and Rhinoliths,"ENT (Ear, Nose & Throat)",Radiograph of nose: for metallic or radio-opaque objects
Foreign Bodies in the Nose and Rhinoliths,"ENT (Ear, Nose & Throat)",CT Scan of the nose and paranasal sinuses when missile injuries are involved
Foreign Body Impaction,Gastrointestinal,Radiograph of neck and chest
Frailty,Geriatric,Full blood count
Frailty,Geriatric,"Electrolytes, urea and creatinine"
Frailty,Geriatric,Liver function tests
Frailty,Geriatric,Thyroid function tests
Frailty,Geriatric,Serum calcium and albumin
Frailty,Geriatric,Urinalysis
Furunculosis (Boils),Dermatological,Wound swab for bacteriology and sensitivity
Furunculosis (Boils),Dermatological,Full Blood Count with differentials
Furunculosis (Boils),Dermatological,Fasting blood glucose
Furunculosis (Boils),Dermatological,HIV screening
Furunculosis (Boils),Dermatological,Urinalysis
Gastric Cancer,Oncology,Oesophagogastroduodenoscopy with biopsy for histopathology
Gastritis,Gastrointestinal,Upper GI Endoscopy (macroscopic diagnosis).
Gastritis,Gastrointestinal,Histology of gastric biopsy for definitive diagnosis
Giardiasis,Infectious/Tropical,Stool microscopy
Giardiasis,Infectious/Tropical,Full blood count
Giardiasis,Infectious/Tropical,Duodenal aspirate for microscopy
Glaucoma,Ophthalmology,Intraocular pressure measurement
Glaucoma,Ophthalmology,Central and peripheral visual field test.
Glaucoma,Ophthalmology,Fundoscopy to determine cup/disc ratio
Glaucoma,Ophthalmology,Gonioscopy to view the angle of the eye
Gonorrhea,Infectious/Tropical,Urethral swab for microscopy and culture and sensitivity
Gout,Endocrine/Metabolic,Serum uric acid - may be normal in acute gout
Gout,Endocrine/Metabolic,"Haematocrit, white blood cell count, ESR, lipid profile"
Gout,Endocrine/Metabolic,"Creatinine, urea, eGFR - to exclude the usually associated renal impairment"
Gout,Endocrine/Metabolic,"Cholesterol, triglycerides – usually elevated and co-existing with gout"
Gout,Endocrine/Metabolic,Plasma glucose (high serum uric acid may be a component of metabolic syndrome)
Gout,Endocrine/Metabolic,"Musculoskeletal ultrasound scan, radiographs, Dual energy computerized tomography"
Granuloma Inguinale (Donovanosis Granuloma Venereum),Infectious/Tropical,Direct microscopy
Guinea Worm Disease (Dracunculiasis),Infectious/Tropical,Radiograph of the affected area if osteomyelitis and arthritis (or calcified worms) are suspected
Haemorrhoids,Gastrointestinal,Anoscopy.
Haemorrhoids,Gastrointestinal,Full blood count
Heart Failure,Cardiovascular,Chest radiograph
Heart Failure,Cardiovascular,Electrocardiography
Heart Failure,Cardiovascular,Echocardiography
Heart Failure,Cardiovascular,"Electrolyte, Urea and Creatinine"
Heart Failure,Cardiovascular,FBG
Heart Failure,Cardiovascular,Urine micro-analysis
Heart Failure,Cardiovascular,Full Blood Count with differentials
Helminthiasis,Infectious/Tropical,Stool examination for ova and parasites
Helminthiasis,Infectious/Tropical,Urine examination: microscopy
Helminthiasis,Infectious/Tropical,Haematology: eosinophilia and anaemia may be present
Helminthiasis,Infectious/Tropical,Serology and CT scan may be required in some instances.
Hepatitis,Infectious/Tropical,Liver Function Tests
Hepatitis,Infectious/Tropical,"Serologic markers of Hepatitis A, B, C, D and E"
Hepatitis,Infectious/Tropical,Viral load
Hepatitis,Infectious/Tropical,Abdominal ultrasonography
Hepatitis,Infectious/Tropical,Prothrombin time
Hepatitis,Infectious/Tropical,HIV Screening
Hepatocellular Carcinoma (HCC),Oncology,Liver biopsy
Hepatocellular Carcinoma (HCC),Oncology,Abdominopelvic USS
Hepatocellular Carcinoma (HCC),Oncology,Abdominal CT
Hepatocellular Carcinoma (HCC),Oncology,LFT
Hepatocellular Carcinoma (HCC),Oncology,Serum proteins
Hepatocellular Carcinoma (HCC),Oncology,"Electrolyte, Urea and Creatinine"
Hepatocellular Carcinoma (HCC),Oncology,"Tumour markers (α-fetoprotein, des-gamma-carboxy prothrombin, C-reactive protein)"
Hepatocellular Carcinoma (HCC),Oncology,FBC
Herpes Zoster,Infectious/Tropical,HIV screening for all patients
Herpes Zoster,Infectious/Tropical,Full Blood Count with differentials
Herpes Zoster,Infectious/Tropical,ESR
Herpes Zoster,Infectious/Tropical,Exclude Hodgkin's disease and leukaemia
Human Immunodeficiency Virus (HIV) Infection,Infectious/Tropical,Full Blood Count and differentials
Human Immunodeficiency Virus (HIV) Infection,Infectious/Tropical,VDRL (or RPR)
Human Immunodeficiency Virus (HIV) Infection,Infectious/Tropical,Tuberculin test (PPD)
Human Immunodeficiency Virus (HIV) Infection,Infectious/Tropical,Gene Xpert
Human Immunodeficiency Virus (HIV) Infection,Infectious/Tropical,Sputum smears for TB
Human Immunodeficiency Virus (HIV) Infection,Infectious/Tropical,"Renal function tests: Electrolytes, Urea and Creatinine"
Human Immunodeficiency Virus (HIV) Infection,Infectious/Tropical,Urinalysis
Human Immunodeficiency Virus (HIV) Infection,Infectious/Tropical,Blood glucose
Human Immunodeficiency Virus (HIV) Infection,Infectious/Tropical,Liver function tests
Human Immunodeficiency Virus (HIV) Infection,Infectious/Tropical,"Lipid studies (fasting triglycerides, LDL, HDL)"
Human Immunodeficiency Virus (HIV) Infection,Infectious/Tropical,"HBV, HCV serology"
Human Immunodeficiency Virus (HIV) Infection,Infectious/Tropical,Cervical (PAP) smears
Human Immunodeficiency Virus (HIV) Infection,Infectious/Tropical,CD4 T cell counts
Human Immunodeficiency Virus (HIV) Infection,Infectious/Tropical,Chest X-ray
Human Immunodeficiency Virus (HIV) Infection,Infectious/Tropical,HIV RNA level (viral load)
Human Immunodeficiency Virus (HIV) Infection,Infectious/Tropical,HIV DNA (paediatric diagnosis <18 months of age)
Human Immunodeficiency Virus (HIV) Infection,Infectious/Tropical,Genotype and phenotype assays for resistance testing
Human Immunodeficiency Virus (HIV) Infection,Infectious/Tropical,"Pregnancy assessment, family planning and counselling services"
Hyperemesis Gravidarum,Maternal/Reproductive,FBC
Hyperemesis Gravidarum,Maternal/Reproductive,"Electrolyte, Urea and Creatinine"
Hyperemesis Gravidarum,Maternal/Reproductive,Liver function tests
Hyperemesis Gravidarum,Maternal/Reproductive,Midstream urine for M/C/S
Hyperemesis Gravidarum,Maternal/Reproductive,Urinalysis for ketones
Hyperemesis Gravidarum,Maternal/Reproductive,Blood film for malaria parasites
Hyperemesis Gravidarum,Maternal/Reproductive,Ultrasound scan of the pelvis/abdomen to rule out multiple or abnormal pregnancies
Hyperlipidaemia,Endocrine/Metabolic,Lipid profile
Hyperlipidaemia,Endocrine/Metabolic,"Urea, Electrolytes and Creatinine"
Hyperlipidaemia,Endocrine/Metabolic,FBG
Hyperlipidaemia,Endocrine/Metabolic,Urine proteins
Hyperlipidaemia,Endocrine/Metabolic,Serum proteins (total and differential)
Hypertension,Cardiovascular,Urinalysis; urine microscopy
Hypertension,Cardiovascular,"Electrolyte, Urea and Creatinine"
Hypertension,Cardiovascular,Uric acid
Hypertension,Cardiovascular,FBG
Hypertension,Cardiovascular,Lipid profile
Hypertension,Cardiovascular,Chest radiograph
Hypertension,Cardiovascular,Electrocardiography
Hypertension,Cardiovascular,Echocardiography
Hypertension,Cardiovascular,Abdominal ultrasound
Hypertension,Cardiovascular,Renal angiography
Hypoglycemia in a Child,Endocrine/Metabolic,"Screening for hypoglycaemia is mandatory for all high-risk infants (EGA <37weeks, Weight <2.5kg, SGA, infants of diabetic mothers, infants of mothers on β-blockers, infants with cold-stress)."
Hypoglycemia in a Child,Endocrine/Metabolic,"The diagnosis of hypoglycaemia should be confirmed using test strips which are not affected by haematocrit, oxygen saturation or bilirubin level."
Hypoglycemia in a Child,Endocrine/Metabolic,"Screening for hypoglycaemia for all high-risk infants (EGA <37weeks, Weight <2.5kg, SGA, infants of diabetic mothers, infants of mothers on β-blockers, infants with cold-stress)."
Hypoglycemia in a Child,Endocrine/Metabolic,"Diagnosis confirmed using test strips unaffected by haematocrit, oxygen saturation, or bilirubin level. Modern strips provide blood glucose values close to spectrophotometery values."
Hypothyroidism (Myxoedema),Endocrine/Metabolic,Total serum T3 and T4 levels
Hypothyroidism (Myxoedema),Endocrine/Metabolic,TSH stimulation test
Hypothyroidism (Myxoedema),Endocrine/Metabolic,TRH test
Idiopathic Inflammatory Myopathies,Musculoskeletal,"Diagnosis is based on three planks – muscle enzymes, EMG, muscle biopsy. Probably the more commonly used set of criteria are the Bohan-Peter criteria"
Idiopathic Inflammatory Myopathies,Musculoskeletal,Elevated muscle enzymes - Creatine kinase : many times upper limit of normal
Idiopathic Inflammatory Myopathies,Musculoskeletal,Elevated aldolase
Idiopathic Inflammatory Myopathies,Musculoskeletal,Lactate dehydrogenase
Idiopathic Inflammatory Myopathies,Musculoskeletal,"Elevated liver enzymes - Alanine transaminase (ALT), aspartate transaminases (AST)"
Idiopathic Inflammatory Myopathies,Musculoskeletal,ESR and CRP are usually elevated
Idiopathic Inflammatory Myopathies,Musculoskeletal,"Serology - Antinuclear Antibodies (ANA) 50-80%, Anti-Mi2 associated with dermatomyositis, Anti-Jo1 associated with polymyositis, Anti-SR2 associated with severe resistance polymyositis"
Idiopathic Inflammatory Myopathies,Musculoskeletal,ECG : arrhythmias seen in 90% of patient
Idiopathic Inflammatory Myopathies,Musculoskeletal,Muscle biopsy
Idiopathic Inflammatory Myopathies,Musculoskeletal,Pulmonary function test
Idiopathic Inflammatory Myopathies,Musculoskeletal,High resolution lung CT scan to exclude interstitial lung disease.
Idiopathic Inflammatory Myopathies,Musculoskeletal,Magnetic Resonance Imaging to differentiate acute inflammation from chronic muscle damage
Idiopathic Inflammatory Myopathies,Musculoskeletal,Electromyography (EMG)
Impetigo Contagiosa,Infectious/Tropical,Wound swab for bacteriology and sensitivity
Infective Conjunctivitis,Ophthalmology,"Conjunctival swab for microscopy, culture and sensitivity"
Infective Endocarditis,Infectious/Tropical,FBC and differentials
Infective Endocarditis,Infectious/Tropical,Urinalysis; urine microscopy
Infective Endocarditis,Infectious/Tropical,Blood cultures X 3 (the yield is higher at the time of pyrexia)
Infective Endocarditis,Infectious/Tropical,Chest radiography
Infective Endocarditis,Infectious/Tropical,ECG
Infective Endocarditis,Infectious/Tropical,Echocardiography
Insomnia,Neurological/Mental,Mainly of the presumed underlying cause(s)
Intra-hepatic Cholestatic Jaundice of Pregnancy,Maternal/Reproductive,Bilirubinuria
Intra-hepatic Cholestatic Jaundice of Pregnancy,Maternal/Reproductive,Elevated bile acids
Intra-hepatic Cholestatic Jaundice of Pregnancy,Maternal/Reproductive,Elevated alkaline phosphatase
Intra-hepatic Cholestatic Jaundice of Pregnancy,Maternal/Reproductive,Elevated liver transferase enzymes
Intra-hepatic Cholestatic Jaundice of Pregnancy,Maternal/Reproductive,Prothrombin time
Intra-hepatic Cholestatic Jaundice of Pregnancy,Maternal/Reproductive,"Always exclude viral disease, gallstones and treatment with chlorpromazine"
Jaundice in Pregnancy,Maternal/Reproductive,Histology: Perilobular fatty infiltration of the liver cells
Jaundice in Pregnancy,Maternal/Reproductive,There is no place for liver biopsy because of risk of severe bleeding
Jaundice,Gastrointestinal,LFTs
Jaundice,Gastrointestinal,Abdominal ultrasound scan
Jaundice,Gastrointestinal,PT/PTTK
Jaundice,Gastrointestinal,CT/MRI/MRCP
Juvenile Periodontitis,Dental/Oral Health,"Radiology may reveal marked bone loss interdentally, inter-radicularly and apically"
Kwashiorkor and Marasmus,Nutritional,Full Blood Count
Kwashiorkor and Marasmus,Nutritional,ESR
Kwashiorkor and Marasmus,Nutritional,Stool microscopy
Kwashiorkor and Marasmus,Nutritional,Urinalysis
Kwashiorkor and Marasmus,Nutritional,Serum proteins
Kwashiorkor and Marasmus,Nutritional,Chest radiograph
Kwashiorkor and Marasmus,Nutritional,Mantoux test
Leukaemia,Oncology,"Full blood count with ESR, reticulocyte count, Coombs test"
Leukaemia,Oncology,Bone marrow examination
Leukaemia,Oncology,"Biochemical tests: serum electrolytes, urea, creatinine, uric acid, liver function tests"
Leukaemia,Oncology,"Prothrombin time, partial thromboplasmin human leucocyte antigen typing"
Leukaemia,Oncology,HIV I and II
Leukaemia,Oncology,"Cytochemical tests: Peroxidase, Sudan Black B-Non-specific esterase reaction e.g. alpha napthyl acetate esterase"
Leukaemia,Oncology,Bone marrow cultures
Leukaemia,Oncology,Cytogenetic studies
Leukaemia,Oncology,Electron microscopy
Leukaemia,Oncology,Cell markers e.g. using a panel of antibodies combined with flow cytometric analysis or the alkaline phosphase-anti alkaline phosphate (APAAP) technique to classify the blast cells into lymphoid or myeloid lineages
Leukaemia,Oncology,Abdominal ultrasound/CT scans
Leukaemia,Oncology,Immunological classification
Leukaemia,Oncology,Terminal deoxynucleotidyl transferase demonstration in nuclei of B and T lymphocytes
Lichen Planus,Dermatological,Histopathology
Lichen Planus,Dermatological,Hepatitis C antigen
Liver Cirrhosis,Gastrointestinal,LFTs
Liver Cirrhosis,Gastrointestinal,"PT, PTTK"
Liver Cirrhosis,Gastrointestinal,Liver biopsy
Liver Cirrhosis,Gastrointestinal,Ultrasound examination of the liver
Liver Cirrhosis,Gastrointestinal,Hepatitis B & C
Liver Cirrhosis,Gastrointestinal,Upper GI endoscopy.
Lung Abscess,Respiratory,Sputum: Gram stain and culture
Lung Abscess,Respiratory,Bronchoscopy
Lung Abscess,Respiratory,Transthoracic aspiration
Lung Abscess,Respiratory,Blood culture
Lung Abscess,Respiratory,Chest radiograph
Lung Cancer,Oncology,Bronchoscopy plus biopsy
Lung Cancer,Oncology,Mediastinoscopy
Lung Cancer,Oncology,Thoracoscopy or video-assisted thoracoscopy
Lung Cancer,Oncology,"Radiologic: chest radiograph, contrast-enhanced chest CT, PET-CT"
Lung Cancer,Oncology,"Others: FBC, Electrolyte, Urea and Creatinine, LFT and Serum proteins"
Lymphogranuloma Venereum,Infectious/Tropical,Culture and cell typing of the isolate from an aspirate of involved lymph node
Lymphogranuloma Venereum,Infectious/Tropical,Serological tests e.g. CFT and MIF
Lymphogranuloma Venereum,Infectious/Tropical,PCR
Lymphomas,Oncology,FBC and ESR
Lymphomas,Oncology,Coombs test
Lymphomas,Oncology,Bone marrow aspiration and needle biopsy
Lymphomas,Oncology,Serum Urea
Lymphomas,Oncology,Electrolytes
Lymphomas,Oncology,Serum Uric acid
Lymphomas,Oncology,"Liver Function Tests: transaminases-ALT, AST, ALP; bilirubin; serum proteins"
Lymphomas,Oncology,HIV screening
Lymphomas,Oncology,Immunoglobulins
Lymphomas,Oncology,Chest Radiograph
Malaria in the Newborn,Infectious/Tropical,Rapid Diagnostic Tests for rapid detection of Plasmodium falciparum in situations of poor laboratory services
Malaria in the Newborn,Infectious/Tropical,Peripheral blood film microscopy with Giemsa staining which most frequently reveals Plasmodium falciparum.
Malaria in the Newborn,Infectious/Tropical,Full blood count: anaemia and leucocytosis.
Malaria in the Newborn,Infectious/Tropical,Blood culture is expected to be negative.
Malaria in the Newborn,Infectious/Tropical,Rapid Diagnostic Tests for rapid detection of Plasmodium falciparum in situations of poor laboratory services
Malaria in the Newborn,Infectious/Tropical,Peripheral blood film microscopy with Giemsa staining which most frequently reveals Plasmodium falciparum
Malaria in the Newborn,Infectious/Tropical,Full blood count: anaemia and leucocytosis
Malaria in the Newborn,Infectious/Tropical,Blood culture is expected to be negative
Male Infertility,Maternal/Reproductive,Semen analysis x 3
Male Infertility,Maternal/Reproductive,"Hormone profile (LH, FSH, testosterone, and prolactin)"
Male Infertility,Maternal/Reproductive,Scrotal ultrasound
Male Infertility,Maternal/Reproductive,Trans-rectal ultrasound
Male Infertility,Maternal/Reproductive,Testicular biopsy
Male Infertility,Maternal/Reproductive,Vasography
Mastoiditis,"ENT (Ear, Nose & Throat)","Ear swab for microscopy, culture, culture and sensitivity"
Mastoiditis,"ENT (Ear, Nose & Throat)",Radiographs of the mastoid
Mastoiditis,"ENT (Ear, Nose & Throat)",CT Scan of petromastoid
Mastoiditis,"ENT (Ear, Nose & Throat)",MRI of the petromastoid
Measles (Rubeola),Infectious/Tropical,Isolation of the virus by tissue culture
Measles (Rubeola),Infectious/Tropical,ELISA: first IgM and later IgG response
Measles (Rubeola),Infectious/Tropical,Demonstration of Warthin Finkeldy giant cells in smears of the nasal mucosa
Measles (Rubeola),Infectious/Tropical,FBC
Measles (Rubeola),Infectious/Tropical,Lumbar puncture
Meningitis,Infectious/Tropical,Lumbar puncture for CSF analysis
Meningitis,Infectious/Tropical,Full Blood Count and differentials
Meningitis,Infectious/Tropical,Blood culture
Meningitis,Infectious/Tropical,Erythrocyte sedimentation rate
Meningitis,Infectious/Tropical,Random blood glucose
Meningitis,Infectious/Tropical,"Electrolytes, Urea and Creatinine"
Meningitis,Infectious/Tropical,Chest radiograph
Meningitis,Infectious/Tropical,Mantoux test (if tuberculosis is suspected)
Meningitis,Infectious/Tropical,HIV screening after voluntary counseling
Micronutrient Deficiencies,Nutritional,"Blood, urine and stool tests"
Migraines,Neurological/Mental,"Neuroimaging such as computerized tomographic (CT) scan, MRI for the exclusion of mass lesions and electroencephalography, skull X-ray"
Migraines,Neurological/Mental,"Cerebrospinal fluid examination for pressure, cells and chemistry, erythrocyte sedimentation rate"
Migraines,Neurological/Mental,Angiography
Molluscum Contagiosum,Infectious/Tropical,Histopathology of the expressed pasty core
Multiple Myeloma,Oncology,Diagnosis is based on the presence of at least 10% clonal bone marrow plasma cells and monoclonal protein in serum or urine
Multiple Myeloma,Oncology,"In patients with true non-secretory myeloma, the diagnosis is based on 30% monoclonal bone marrow plasma cells or a biopsy proven plasmacytoma"
Multiple Myeloma,Oncology,"Routine laboratory testing: FBC, Chemical analysis, Serum and urine protein electrophoresis with immunofixation, and qualification of monoclonal protein, Bone marrow examination (trephine biopsy plus aspirate of cytogenetic analysis or fluorescence In situ hybridization [FISH])"
Multiple Myeloma,Oncology,"Conventional radiography of the spine, skull, chest, pelvic, humeri, and femoral remains the standard to identify myeloma related bone lesions"
Multiple Myeloma,Oncology,Magnetic resonance imaging (MRI) is recommended to evaluate symptoms in patients with normal results in conventional radiography and in all patients with radiographs suggesting the presence or solitary plasmacytoma of the bone
Multiple Myeloma,Oncology,Computed tomography and MRI are the procedures of choice to asses suspected cord compression and should be performed on an urgent basis
Myocarditis,Cardiovascular,Electrocardiography
Myocarditis,Cardiovascular,Echocardiography
Myocarditis,Cardiovascular,FBC and differentials
Myocarditis,Cardiovascular,"Electrolyte, Urea and Creatinine"
Myocarditis,Cardiovascular,Cardiac enzymes
Myocarditis,Cardiovascular,Endomyocardial biopsy
Malaria,Infectious/Tropical,Blood smear for malaria parasites
Malaria,Infectious/Tropical,Packed cell volume; haemoglobin concentration
Malaria,Infectious/Tropical,White cell count with differentials
Malaria,Infectious/Tropical,Blood sugar
Malaria,Infectious/Tropical,Urinalysis
Malaria,Infectious/Tropical,Electrolytes and Urea; Creatinine
Malaria,Infectious/Tropical,Stool microscopy for ova; occult blood
Malaria,Infectious/Tropical,Chest radiograph
Malaria,Infectious/Tropical,"Cerebrospinal fluid biochemistry; microscopy, culture, and sensitivity"
Nasal Allergy,"ENT (Ear, Nose & Throat)",Skin tests for allergens: intradermal or prick tests
Nasal Allergy,"ENT (Ear, Nose & Throat)",Smear of nasal secretions for eosinophilia
Nasal Allergy,"ENT (Ear, Nose & Throat)",Serological tests: radio-immunoassay for IgE antibodies
Nasal Allergy,"ENT (Ear, Nose & Throat)",Sinus X-ray
Nasal Allergy,"ENT (Ear, Nose & Throat)",CT Scan of nose and paranasal sinuses
Necrotizing Enterocolitis,Gastrointestinal,Full blood count
Necrotizing Enterocolitis,Gastrointestinal,Plain abdominal X-Ray
Necrotizing Enterocolitis,Gastrointestinal,Random Blood Glucose
Necrotizing Enterocolitis,Gastrointestinal,"Serum electrolytes, urea and creatinine"
Necrotizing Enterocolitis,Gastrointestinal,Blood culture
Necrotizing Enterocolitis,Gastrointestinal,Full blood count
Necrotizing Enterocolitis,Gastrointestinal,Plain abdominal X-Ray
Necrotizing Enterocolitis,Gastrointestinal,Random Blood Glucose
Necrotizing Enterocolitis,Gastrointestinal,"Serum electrolytes, urea and creatinine"
Necrotizing Enterocolitis,Gastrointestinal,Blood culture
Neonatal Jaundice,Gastrointestinal,"Serum bilirubin (only TSB is essential in the first week of life; split bilirubin – total, unconjugated and conjugated- is only required in cases of prolonged jaundice)"
Neonatal Jaundice,Gastrointestinal,Trans-cutaneous Bilirubin (TcB) estimation is reliable as it correlates well with serum bilirubin except in severe cases of hyperbilirubinaemia
Neonatal Jaundice,Gastrointestinal,Blood typing (for mother and baby)
Neonatal Jaundice,Gastrointestinal,Full Blood Count
Neonatal Jaundice,Gastrointestinal,Peripheral blood film examination
Neonatal Jaundice,Gastrointestinal,Coomb's test
Neonatal Jaundice,Gastrointestinal,G6PD assay or screening
Neonatal Jaundice,Gastrointestinal,Thyroid Function Tests
Neonatal Jaundice,Gastrointestinal,Hepatobiliary scan
Neonatal Sepsis,Paediatric,A lumbar tap for cerebrospinal fluid analysis is mandatory unless the infant has cardio-respiratory instability. It must not delay empirical antibiotic therapy.
Neonatal Sepsis,Paediatric,"Neuro-imaging studies if fever persists, seizures recur, or occipitofrontal circumference is increasing."
Neonatal Sepsis,Paediatric,A lumbar tap for cerebrospinal fluid analysis is mandatory unless the infant has cardio-respiratory instability.
Neonatal Sepsis,Paediatric,"Neuro-imaging studies are required if fever persists or recurs, seizures recur after initial control, or occipitofrontal circumference is increasing."
Neonatal Jaundice,Gastrointestinal,"Serum bilirubin (only TSB is essential in the first week of life; split bilirubin – total, unconjugated and conjugated- is only required in cases of prolonged jaundice)"
Neonatal Jaundice,Gastrointestinal,"Trans-cutaneous Bilirubin (TcB) estimation is reliable as it correlates well with serum bilirubin except in severe cases of hyperbilirubinaemia. Therefore, this can be reliably used when serum TSB is not available."
Neonatal Jaundice,Gastrointestinal,Blood typing (for mother and baby)
Neonatal Jaundice,Gastrointestinal,Full Blood Count
Neonatal Jaundice,Gastrointestinal,Peripheral blood film examination
Neonatal Jaundice,Gastrointestinal,Coomb's test
Neonatal Jaundice,Gastrointestinal,G6PD assay or screening
Neonatal Jaundice,Gastrointestinal,Thyroid Function Tests
Neonatal Jaundice,Gastrointestinal,Hepatobiliary scan
Neoplasms of the Salivary Gland,Dental/Oral Health,Sialography
Neoplasms of the Salivary Gland,Dental/Oral Health,Postero-anterior view of the skull
Neoplasms of the Salivary Gland,Dental/Oral Health,Oblique lateral view of the jaws
Nephrotic Syndrome,Renal/Urological,"Blood: Serum proteins, Serum lipids"
Nephrotic Syndrome,Renal/Urological,"Urine: Urinalysis, 24-hour urine collection for protein estimation"
Nephrotic Syndrome,Renal/Urological,Abdominal ultrasound scan
Nephrotic Syndrome,Renal/Urological,Renal biopsy
Non-Obstructive (Simple) Chronic Bronchitis (NCB),Respiratory,"Spirometry may reveal no abnormality in lung function, since there is no airflow obstruction"
Non-Obstructive (Simple) Chronic Bronchitis (NCB),Respiratory,Chest Xray does not show any characteristic abnormality in simple chronic bronchitis
Non-Obstructive (Simple) Chronic Bronchitis (NCB),Respiratory,"Bronchography may reveal irregular narrowed or distorted bronchi. There is however, no need for routine bronchography in chronic bronchitis."
Non-Obstructive (Simple) Chronic Bronchitis (NCB),Respiratory,"Sputum examination; In early stages, sputum may be mucoid. Sputum M/C/S may be necessary to detect bacterial infection"
Non-Obstructive (Simple) Chronic Bronchitis (NCB),Respiratory,Arterial blood gas studies may be unnecessary in straightforward uncomplicated NCB.
Obesity,Endocrine/Metabolic,"Non-specific assessment: FBS, OGTT, serum lipid profile."
Obesity,Endocrine/Metabolic,Assessment of other complications as indicated.
Obesity,Endocrine/Metabolic,"Specific assessment should be directed towards identifying underlying specific causes when suspected. These include conditions such as endocrinopathies (hypothyroidism, Cushing's syndrome, male hypogonadism, Insulinoma CNS disease that affects hypothalamic function, PCOS), genetic syndromes associated with obesity, mental disorders like bulimia nervosa and binge eating disorder, medications such as steroids, and atypical antipsychotics."
Obesity,Endocrine/Metabolic,"Rule out underlying causes: although these may not be common, specific therapy may be available. Clinical presentation may therefore require specific Investigations to exclude conditions such as hypothyroidism, hypercortisolism, male hypogonadism, insulinoma and CNS diseases that affect hypothalamic function"
Onchocerciasis (River Blindness),Infectious/Tropical,Skin snip or punch biopsy for microfilariae
Onchocerciasis (River Blindness),Infectious/Tropical,Excise nodule for adult worms
Onchocerciasis (River Blindness),Infectious/Tropical,Mazzotti test reaction
Onchocerciasis (River Blindness),Infectious/Tropical,Slit lamp eye examination
Ophthalmia Neonatorum,Paediatric,"Conjunctival swab for microscopy, culture and sensitivity"
Oral Thrush (Candidiasis),Dental/Oral Health,"Smear of the affected region and Gram staining or PAS, with or without potassium hydroxide to demonstrate hyphae"
Oral Thrush (Candidiasis),Dental/Oral Health,Swab sample for M/C/S
Oral Thrush (Candidiasis),Dental/Oral Health,Biopsy and histopathologic examination
Oral Thrush (Candidiasis),Dental/Oral Health,Identify predisposing factors (including immunosuppression)
Oral Thrush (Candidiasis),Dental/Oral Health,Define extent of involvement
Otitis Externa,"ENT (Ear, Nose & Throat)","Ear swab, taken properly for microscopy, culture and sensitivity"
Otitis Externa,"ENT (Ear, Nose & Throat)",Ear endoscopy
Otitis Externa,"ENT (Ear, Nose & Throat)",Urinalysis for glycosuria
Otitis Externa,"ENT (Ear, Nose & Throat)",Blood glucose estimation in cases of recurrent furunculosis to exclude diabetes mellitus
Osteoarthritis,Musculoskeletal,To exclude other diagnosis
Osteoarthritis,Musculoskeletal,No blood tests diagnostic
Osteoarthritis,Musculoskeletal,"Imaging – X-ray; CT, MRI (hardly done because of cost)"
Pancreatitis,Gastrointestinal,Serum amylase.
Pancreatitis,Gastrointestinal,Serum lipase.
Pancreatitis,Gastrointestinal,Alanine aminotransferase (ALT).
Pancreatitis,Gastrointestinal,Abdominal USS
Pancreatitis,Gastrointestinal,Plain Abdominal X-ray
Pancreatitis,Gastrointestinal,CT scan.
