condition_name,category,prevention,Theme
Nasal Allergy,"ENT (Ear, Nose & Throat)","Avoid known allergenic substances, inhalants, foods, etc",Dietary/Nutritional
Nephrotic Syndrome,Renal/Urological,Avoid nephrotoxins,Other Preventive Measures
Nephrotic Syndrome,Renal/Urological,Treat bites and stings to prevent p haemolytic streptococcal infection,Dietary/Nutritional
Onchocerciasis (River Blindness),Infectious/Tropical,Use biodegradable insecticides to kill flies,Vector Control
Onchocerciasis (River Blindness),Infectious/Tropical,Netting and repellents remain crucial,Vector Control
Onchocerciasis (River Blindness),Infectious/Tropical,Provide access to safe and portable water,Other Preventive Measures
Onchocerciasis (River Blindness),Infectious/Tropical,"In hyperendemic areas, treat the whole population twice yearly with ivermectin",Dietary/Nutritional
Ophthalmia Neonatorum,Paediatric,Apply tetracycline eye ointment or silver nitrate drops in both eyes of neonates immediately after delivery,Other Preventive Measures
Ophthalmia Neonatorum,Paediatric,Proper antenatal care for early detection of infection in mothers,Screening/Early Detection
Oral Thrush (Candidiasis),Dental/Oral Health,"Manage any underlying predisposing factors like denture wearing, reduced salivation, antibiotic therapy, poorly controlled diabetes mellitus, steroid therapy, salivary gland damage, malnutrition, HIV infection and leukaemia, deficiencies like iron, vitamin B, folic acid and agranulocytosis",Dietary/Nutritional
Otitis Externa,"ENT (Ear, Nose & Throat)",Avoid trauma to ear canal (especially scratching),Other Preventive Measures
Otitis Externa,"ENT (Ear, Nose & Throat)",Keep ears dry,Other Preventive Measures
Solid Tumours in Surgical Practice,Oncology,Surgery for precancerous conditions like orchidectomy to prevent testicular cancer,Screening/Early Detection
Solid Tumours in Surgical Practice,Oncology,Prophylactic removal of predisposed organs in hereditary diseases like germline BRCA mutations,Other Preventive Measures
Osteoarthritis,Musculoskeletal,Reduce weight,Other Preventive Measures
Osteoarthritis,Musculoskeletal,Regular exercise,Lifestyle/Exercise
Panic Disorder,Neurological/Mental,No specific primary prevention measures,Other Preventive Measures
Parkinsonism,Neurological/Mental,Avoid identified causative agents where feasible,Other Preventive Measures
Parkinsonism,Neurological/Mental,Timely and appropriate treatment to prevent/reduce complications,Dietary/Nutritional
Pediculosis (Lice),Dermatological,Improve personal hygiene,Hygiene/Sanitation
Pediculosis (Lice),Dermatological,"Do not share hair combs, brushes, clothing, pants and pillows",Other Preventive Measures
Pelvic Inflammatory Diseases,Maternal/Reproductive,Encourage the use of barrier contraceptive with spermicides,Other Preventive Measures
Pelvic Inflammatory Diseases,Maternal/Reproductive,Modify risky sexual behaviour: avoid multiplicity of sexual partners,Safe Sexual Practices
Pelvic Inflammatory Diseases,Maternal/Reproductive,Contact tracing: to break the existing chain of infection and prevent recurrence,Other Preventive Measures
Pelvic Inflammatory Diseases,Maternal/Reproductive,Prompt diagnosis and treatment to prevent long-term complications,Dietary/Nutritional
Pericarditis,Cardiovascular,Avoid radiation,Other Preventive Measures
Pericarditis,Cardiovascular,Prevent infection,Other Preventive Measures
Periodontitis,Dental/Oral Health,Oral health education,Health Education
Periodontitis,Dental/Oral Health,Scaling and polishing every six months,Other Preventive Measures
Peripheral Vascular Disease,Cardiovascular,"Advice against smoking, high cholesterol and high blood pressure",Other Preventive Measures
Peritonsillar Abscess (Quinsy),"ENT (Ear, Nose & Throat)",Elective tonsillectomy is advised after an episode of quinsy to prevent further (more severe) attacks,Other Preventive Measures
Pityriasis Versicolor (Tinea Versicolor),Dermatological,"Avoid hot, humid environments or clothing that promote perspiration",Health Education
Pityriasis Versicolor (Tinea Versicolor),Dermatological,Take a cold shower after perspiration,Other Preventive Measures
Pityriasis Versicolor (Tinea Versicolor),Dermatological,Use any of the above shampoo washes once a month if predisposed,Hygiene/Sanitation
Plaque-Induced Gingivitis,Dental/Oral Health,Oral health education,Health Education
Plaque-Induced Gingivitis,Dental/Oral Health,Scaling and polishing every six months,Other Preventive Measures
Pneumonia,Respiratory,Pneumococcal vaccine,Vaccination/Immunisation
Pneumonia,Respiratory,Haemophilus influenzae vaccine,Vaccination/Immunisation
Poliomyelitis,Infectious/Tropical,Hygienic practices,Hygiene/Sanitation
Poliomyelitis,Infectious/Tropical,To prevent / limit contamination of food and water by the virus,Dietary/Nutritional
Poliomyelitis,Infectious/Tropical,Vaccination: The only effective method of Prevention,Vaccination/Immunisation
Poliomyelitis,Infectious/Tropical,"Oral Polio Vaccine: Given at Birth, 6 weeks,10 weeks,14 weeks",Vaccination/Immunisation
Poliomyelitis,Infectious/Tropical,Highly effective,Other Preventive Measures
Poliomyelitis,Infectious/Tropical,50% immune after 1 dose,Other Preventive Measures
Poliomyelitis,Infectious/Tropical,Greater than 95% immune after 3 doses,Dietary/Nutritional
Poliomyelitis,Infectious/Tropical,Confers herd immunity,Other Preventive Measures
Poliomyelitis,Infectious/Tropical,Immunity probably life long,Other Preventive Measures
Poliomyelitis,Infectious/Tropical,Limits spread of wild polio virus,Other Preventive Measures
Poliomyelitis,Infectious/Tropical,Inactivated Polio Vaccine: Given at 2 months 4 months 12 months,Vaccination/Immunisation
Poliomyelitis,Infectious/Tropical,Highly effective,Other Preventive Measures
Poliomyelitis,Infectious/Tropical,90% immune after 2 doses,Other Preventive Measures
Poliomyelitis,Infectious/Tropical,99% immune after 3 doses,Other Preventive Measures
Poliomyelitis,Infectious/Tropical,Duration of immunity not known with certainty,Other Preventive Measures
Poliomyelitis,Infectious/Tropical,Hygienic practices,Hygiene/Sanitation
Poliomyelitis,Infectious/Tropical,To prevent / limit contamination of food and water by the virus,Dietary/Nutritional
Poliomyelitis,Infectious/Tropical,Vaccination: The only effective method of Prevention,Vaccination/Immunisation
Poliomyelitis,Infectious/Tropical,"Oral Polio Vaccine Given at: Birth, 6 weeks,10 weeks,14 weeks",Vaccination/Immunisation
Poliomyelitis,Infectious/Tropical,Highly effective,Other Preventive Measures
Poliomyelitis,Infectious/Tropical,50% immune after 1 dose,Other Preventive Measures
Poliomyelitis,Infectious/Tropical,>95% immune after 3 doses,Other Preventive Measures
Poliomyelitis,Infectious/Tropical,Confers herd immunity,Other Preventive Measures
Poliomyelitis,Infectious/Tropical,Immunity probably lifelong,Other Preventive Measures
Poliomyelitis,Infectious/Tropical,Limits spread of wild polio virus,Other Preventive Measures
Poliomyelitis,Infectious/Tropical,Inactivated Polio Vaccine Given at 2 months 4 months 12 months,Vaccination/Immunisation
Poliomyelitis,Infectious/Tropical,Highly effective,Other Preventive Measures
Poliomyelitis,Infectious/Tropical,90% immune after 2 doses,Other Preventive Measures
Poliomyelitis,Infectious/Tropical,99% immune after 3 doses,Other Preventive Measures
Poliomyelitis,Infectious/Tropical,Duration of immunity not known with certainty,Other Preventive Measures
Prevention and Control of Surgical Site Infection,Surgical/Emergency,"Wounds are classified into I Clean (Risk of SSI, >2%), II Clean contaminated (Risk of SSI, 4-8%), III Contaminated (Risk of SSI >20%), IV Dirty/Infected (Risk of SSI <40%)",Hygiene/Sanitation
Prevention and Control of Surgical Site Infection,Surgical/Emergency,Prophylactic antibiotics for Prevention of SSI,Other Preventive Measures
Prevention of Blood Loss and Blood Transfusion in Surgery,Haematological,Screening for communicable diseases before transfusion,Screening/Early Detection
Prevention of Blood Loss and Blood Transfusion in Surgery,Haematological,Adequate grouping and cross-matching before transfusion,Other Preventive Measures
Prevention of Blood Loss and Blood Transfusion in Surgery,Haematological,Store blood at appropriate temperature,Other Preventive Measures
Prevention of Blood Loss and Blood Transfusion in Surgery,Haematological,Use blood fractions whenever possible,Other Preventive Measures
Prevention of Blood Loss and Blood Transfusion in Surgery,Haematological,Use autologous blood whenever possible,Other Preventive Measures
Prevention of Blood Loss and Blood Transfusion in Surgery,Haematological,Adequate evaluation before transfusion,Other Preventive Measures
Prevention of Diabetes,Endocrine/Metabolic,"Obesity and physical inactivity are the major modifiable risk factors, and should be avoided/corrected",Lifestyle/Exercise
Prevention of Diabetes,Endocrine/Metabolic,Onset of diabetes can be delayed in people at high risk by active lifestyle modification,Lifestyle/Exercise
Prevention of Diabetes,Endocrine/Metabolic,"Lifestyle modification should be the cornerstone of preventative strategies in the following categories of people: Age > 45 years, Overweight and obesity (BMI > 25 kg/m2), Physical inactivity, First degree relatives with diabetes, Previous gestational diabetes, Previously identified IGT or IFG, Dyslipidaemia, Hypertension",Lifestyle/Exercise
Priapism,Renal/Urological,Avoid causative drugs,Other Preventive Measures
Pruritus,Dermatological,Use a cleansing bar (instead of soap) for baths,Hygiene/Sanitation
Pruritus,Dermatological,Pat rather than rub skin dry after bath and immediately lubricate skin with petroleum jelly or emulsifying ointment,Other Preventive Measures
Psoriasis,Dermatological,"Avoid exacerbating factors e.g. abrasions, scratches, harsh fibre bathing sponges, and the drugs listed",Other Preventive Measures
Psoriasis,Dermatological,Prevent streptococcal sore throat and treat promptly when it occurs,Dietary/Nutritional
Pulmonary Oedema,Respiratory,Treat cause(s) of cardiac failure or fluid overload (e.g. renal failure),Dietary/Nutritional
Pulmonary Oedema,Respiratory,Judicious administration of blood and intravenous fluids,Other Preventive Measures
Pulpitis,Dental/Oral Health,Prevent dental caries (the most important cause of pulpitis),Other Preventive Measures
Pulpitis,Dental/Oral Health,Seek prompt dental attention,Other Preventive Measures
Rabies,Infectious/Tropical,"Pre-exposure prophylaxis should be offered to persons at high risk of exposure and/or contact with rabies virus: Veterinarians, Cave explorers, Laboratory workers who handle the rabies virus, Animal handlers, Workers in quarantine stations, Field workers who are likely to be bitten by infected wild animals, Certain port officials, Bat handlers, Persons living in (or traveling to) areas where rabies is enzootic and/or where there is limited access to prompt medical care.",Other Preventive Measures
Rabies,Infectious/Tropical,Those caring for patients with rabies. Although there is no proven evidence of human transmission.,Other Preventive Measures
Rabies,Infectious/Tropical,"If there is substantial risk of exposure, and rapid access to post-exposure prophylaxis is limited, give pre-exposure prophylaxis Rabies vaccine PrEP schedule - 2-site ID vaccine administered on days 0 and 7 or 1-site IM vaccine administration on days 0 and 7. (1 ml by deep subcutaneous or intramuscular injection in the deltoid region). Booster doses every 2 - 3 years for those at continued risk.",Vaccination/Immunisation
Rape,Maternal/Reproductive,Promote basic education for all,Health Education
Rape,Maternal/Reproductive,Reduce adult illiteracy,Other Preventive Measures
Rape,Maternal/Reproductive,Promote family/community moral values,Health Education
Rape,Maternal/Reproductive,Promote basic health education,Health Education
Rape,Maternal/Reproductive,Promote safe shelter and neighbourhoods,Health Education
Rape,Maternal/Reproductive,Enforce existing laws on rape,Other Preventive Measures
Rape,Maternal/Reproductive,Legislate for new laws to deter potential rapists and protect females,Other Preventive Measures
Rape,Maternal/Reproductive,Legislate for review to abortion law to allow for termination of pregnancy in case of rape,Other Preventive Measures
Rape,Maternal/Reproductive,Promote socio-economic well-being for all,Health Education
Rheumatic Heart Disease,Cardiovascular,Personal hygiene and good sanitation to prevent recurrence of rheumatic fever,Hygiene/Sanitation
Rheumatic Fever,Cardiovascular,Good sanitation,Hygiene/Sanitation
Rheumatic Fever,Cardiovascular,School surveys - identify carriers of streptococcus and treat,Dietary/Nutritional
Rheumatic Fever,Cardiovascular,Secondary prevention and prophylaxis against endocarditis,Other Preventive Measures
Schizophrenia,Neurological/Mental,No clear/specific scope for primary Prevention at present,Other Preventive Measures
Schizophrenia,Neurological/Mental,Secondary and tertiary: Early and effective treatment,Dietary/Nutritional
Schizophrenia,Neurological/Mental,Rehabilitation to reduce disability,Other Preventive Measures
Scleritis/Episcleritis,Ophthalmology,No real preventive measures available,Other Preventive Measures
Seizures/Epilepsies,Neurological/Mental,Prompt treatment of fever in children to avoid febrile convulsions,Dietary/Nutritional
Seizures/Epilepsies,Neurological/Mental,Prevention of head injuries mainly from automobile accidents,Other Preventive Measures
Seizures/Epilepsies,Neurological/Mental,Treat diseases of the brain early to avoid poor healing and death of brain cells,Dietary/Nutritional
Seizures/Epilepsies,Neurological/Mental,Immunization of children against communicable diseases,Vaccination/Immunisation
Seizures/Epilepsies,Neurological/Mental,Address causative factors (see above),Other Preventive Measures
Seizures/Epilepsies,Neurological/Mental,"Avoid driving and swimming unattended, and operation of machinery",Other Preventive Measures
Sickle Cell Disease,Haematological,Advice on the risks involved in marriages between carriers and between sicklers,Other Preventive Measures
Sickle Cell Disease,Haematological,Anti-pneumococcal vaccine (once every 5 years),Vaccination/Immunisation
Sickle Cell Disease,Haematological,"Providing infection prophylaxis: Anti-malarial, Anti-pneumococcal, Hepatitis B, pneumococcal, H influenza and other childhood vaccines",Vaccination/Immunisation
Sinusitis,"ENT (Ear, Nose & Throat)","Avoid airway irritants, smoking, and alcohol",Other Preventive Measures
Sinusitis,"ENT (Ear, Nose & Throat)",Avoid air pollution,Other Preventive Measures
Sinusitis,"ENT (Ear, Nose & Throat)",Maintain good general health and nutrition,Dietary/Nutritional
Snake Bite,Surgical/Emergency,First-Aid and Transport to the Hospital: Avoid harmful practices such as sucking out poison or using arterial tourniquets; Protective measures to reduce risk of snake bites,Other Preventive Measures
"Stroke (Brain Attack, Cerebrovascular Disease, Apoplexy)",Neurological/Mental,"Treat/control known risk factors: Hypertension, diabetes mellitus; cardiac diseases; hyperlipidaemia; obesity; smoking and excessive alcohol consumption",Dietary/Nutritional
"Stroke (Brain Attack, Cerebrovascular Disease, Apoplexy)",Neurological/Mental,"Low dose aspirin (acetylsalicylic acid) is recommended as antiplatelet agent to prevent ischaemia in those at risk, if tolerated",Other Preventive Measures
Stye (Hordeolum),Ophthalmology,Clean eyelids regularly and thoroughly,Hygiene/Sanitation
Stye (Hordeolum),Ophthalmology,"For recurrent styes, use baby shampoo to clean the eyelashes regularly",Hygiene/Sanitation
Syncope (Fainting),Cardiovascular,Avoid prolonged standing,Other Preventive Measures
Syncope (Fainting),Cardiovascular,Treat underlying cardiac disease,Dietary/Nutritional
Syncope (Fainting),Cardiovascular,Avoid dehydration or excessive fluid loss,Other Preventive Measures
Syncope (Fainting),Cardiovascular,Ensure adequate calorie and avoid prolonged fasting,Other Preventive Measures
Syncope (Fainting),Cardiovascular,Use medication as prescribed by physicians and avoid overdosage to compensate for missed doses,Other Preventive Measures
Syphilis,Infectious/Tropical,"Counselling, Compliance, Condom use and Contact treatment",Health Education
Syphilis,Infectious/Tropical,"All infants born to seropositive mothers should be treated with a single intramuscular dose of benzathine penicillin 50,000 units/kg, whether or not the mothers were treated during pregnancy (with or without penicillin)",Dietary/Nutritional
Syphilis,Infectious/Tropical,Prevention of congenital syphilis is feasible,Other Preventive Measures
Syphilis,Infectious/Tropical,Programmes should implement effective screening strategies for syphilis in pregnant women,Screening/Early Detection
Syphilis,Infectious/Tropical,Screening for syphilis should be conducted at the first prenatal visit,Screening/Early Detection
Syphilis,Infectious/Tropical,Some programmes have found it beneficial to repeat the tests at 28 weeks of pregnancy and at delivery in populations with a high incidence of congenital syphilis,Screening/Early Detection
Tetanus,Infectious/Tropical,"Active immunization of all partially or un-immunized adults, those recovering from tetanus, all pregnant women, infants and un-immunized (missed) children.",Vaccination/Immunisation
Tetanus,Infectious/Tropical,Health education,Health Education
Tetanus,Infectious/Tropical,Improvement in socio-economic status,Other Preventive Measures
The Paralyzed Patient,Neurological/Mental,Immunization against poliomyelitis in childhood,Vaccination/Immunisation
The Paralyzed Patient,Neurological/Mental,Screening for cancer and early management before metastatic spread,Screening/Early Detection
The Paralyzed Patient,Neurological/Mental,Prevention of stroke (see section on Stroke and other causes listed above),Other Preventive Measures
The Paralyzed Patient,Neurological/Mental,Avoid known precipitants like heavy meals or exercise for periodic paralysis; infection or poor compliance for MG crisis,Lifestyle/Exercise
The Unconscious Patient,Neurological/Mental,"Accessible, efficient and effective health care service delivery",Other Preventive Measures
The Unconscious Patient,Neurological/Mental,Early reporting/detection of ill health,Other Preventive Measures
The Unconscious Patient,Neurological/Mental,Adherence to medications and non-drug measures in managing disease states,Other Preventive Measures
The Unconscious Patient,Neurological/Mental,Public Health Education; Promote awareness on avoidance of risk factors,Health Education
Trachoma,Ophthalmology,"SAFE strategy: Surgery for trichiasis, Antibiotics for active disease, Face washing and Environmental changes",Hygiene/Sanitation
Trachoma,Ophthalmology,Improve personal and public hygiene,Hygiene/Sanitation
Trachoma,Ophthalmology,Treat the whole community with topical or systemic antibiotics,Dietary/Nutritional
Trachoma,Ophthalmology,Prompt surgery for trichiasis and entropion to prevent blindness from corneal scarring.,Other Preventive Measures
Apnea in a Child,Paediatric,Early commencement of CPAP in a spontaneously breathing neonate,Dietary/Nutritional
Apnea in a Child,Paediatric,Early commencement of CPAP in a spontaneously breathing neonate,Dietary/Nutritional
Trichomoniasis,Infectious/Tropical,"Counselling, Compliance, Condom use and Contact treatment",Health Education
Trypanosomiasis (Sleeping Sickness),Infectious/Tropical,Surveillance and treatment,Dietary/Nutritional
Trypanosomiasis (Sleeping Sickness),Infectious/Tropical,Chemoprophylaxis,Other Preventive Measures
Trypanosomiasis (Sleeping Sickness),Infectious/Tropical,Vector control by selective clearing of vegetation and use of insecticides.,Vector Control
Tumour Lysis Syndrome,Oncology,Hyperhydration of patient at least 24 hours prior to commencement of chemotherapy using non-potassium containing IVF at 2-3L/m2/day,Other Preventive Measures
Tumour Lysis Syndrome,Oncology,Sodium bicarbonate for the alkalinization of urine,Other Preventive Measures
Tumour Lysis Syndrome,Oncology,Allopurinol administration,Other Preventive Measures
Tumour Lysis Syndrome,Oncology,"Rasburicase- in high risk patients, used in place of allopurinol",Other Preventive Measures
Typhoid Fever (Enteric Fever),Infectious/Tropical,"Eliminate Salmonella by effective treatment of cases, improved sewage management, improved water treatment and improved food hygiene (production, transit, storage, and utilization)",Hygiene/Sanitation
Typhoid Fever (Enteric Fever),Infectious/Tropical,Typhoid immunization is recommended for those at risk.,Vaccination/Immunisation
Typhoid Fever (Enteric Fever),Infectious/Tropical,Not a substitute for scrupulous personal and environmental hygiene,Hygiene/Sanitation
Typhoid Fever (Enteric Fever),Infectious/Tropical,"Identify, and treat chronic carriers with amoxicillin or ciprofloxacin daily for 4 - 6 weeks.",Dietary/Nutritional
Typhoid Fever (Enteric Fever),Infectious/Tropical,In patients with urolithiasis and schistosomiasis appropriate treatment should be instituted,Dietary/Nutritional
Typhoid Fever (Enteric Fever),Infectious/Tropical,Correct anatomic abnormalities associated with the disease surgically.,Other Preventive Measures
Typhoid Fever (Enteric Fever),Infectious/Tropical,Cholecystectomy may be required in some cases,Other Preventive Measures
Urethral Strictures,Renal/Urological,Ensure Prevention of sexually transmitted infections,Safe Sexual Practices
Urethral Strictures,Renal/Urological,Prompt and appropriate treatment of sexually transmitted infections,Dietary/Nutritional
Urethral Strictures,Renal/Urological,Care and attention to asepsis during instrumentation procedures involving the urethra,Other Preventive Measures
Urinary Schistosomiasis,Infectious/Tropical,Provision of and access to pipe-borne water,Other Preventive Measures
Urinary Schistosomiasis,Infectious/Tropical,Improvement in socio-economic conditions,Other Preventive Measures
Urinary Schistosomiasis,Infectious/Tropical,Mass chemotherapy in endemic areas,Other Preventive Measures
Urinary Schistosomiasis,Infectious/Tropical,Eradicating the intermediate hosts (water snails),Other Preventive Measures
Urticaria and Angioedema,Dermatological,Eliminate/avoid any identified/possible causal factor(s),Other Preventive Measures
Varicella (Chickenpox),Infectious/Tropical,Isolate patients from non-immune persons,Other Preventive Measures
Viral Warts (Verrucae),Infectious/Tropical,Women with genital HPV infection should have routine cervical cytologic screening,Screening/Early Detection
Viral Warts (Verrucae),Infectious/Tropical,Papanicolaou (PAP) smear to detect cervical dysplasia,Other Preventive Measures
Vitamin A Deficiency,Nutritional,"Eat foods rich in vitamin A, in adequate amounts",Dietary/Nutritional
Vitamin A Deficiency,Nutritional,Family and community health education,Health Education
Vitamin A Deficiency,Nutritional,"Eat foods rich in vitamin A, in adequate amounts",Dietary/Nutritional
Vitamin A Deficiency,Nutritional,Family and community health education,Health Education
Vitamin K Deficiency Bleeding,Haematological,Babies are given Vitamin K1 routinely within 90 minutes after birth at the dose of 0.5 mg for those less than 1.5 kg and 1 mg for those 1.5 kg and above.,Other Preventive Measures
Vitamin K Deficiency Bleeding,Haematological,Babies are given Vitamin K1 routinely within 90 minutes after birth at the dose of 0.5 mg for those less than 1.5 kg and 1 mg for those 1.5 kg and above.,Other Preventive Measures
Vulvo-Vaginal Candidiasis,Maternal/Reproductive,Reduce or eliminate predisposing factors,Other Preventive Measures
Vulvo-Vaginal Candidiasis,Maternal/Reproductive,After defecation cleaning should be done backwards to prevent faecal contamination of the vulva and vagina,Hygiene/Sanitation
Xerophthalmia,Nutritional,Distribution of massive dose capsules of vitamin A to affected communities,Other Preventive Measures
Xerophthalmia,Nutritional,Nutrition and health education,Health Education
Xerophthalmia,Nutritional,Fortification of foods with vitamin A,Dietary/Nutritional
