condition_name,category,complication
Intra-hepatic Cholestatic Jaundice of Pregnancy,Maternal/Reproductive,Still-birth
Intra-hepatic Cholestatic Jaundice of Pregnancy,Maternal/Reproductive,Perinatal death
Intra-hepatic Cholestatic Jaundice of Pregnancy,Maternal/Reproductive,Prematurity and its problems
Intra-hepatic Cholestatic Jaundice of Pregnancy,Maternal/Reproductive,Meconium staining of the liquor
Jaundice in Pregnancy,Maternal/Reproductive,Disseminated intravascular coagulopathy
Jaundice in Pregnancy,Maternal/Reproductive,Hypotension
Jaundice in Pregnancy,Maternal/Reproductive,"Significant risk of maternal and foetal death due to: Maternal liver failure, Metabolic disturbance, Encephalopathy, Overwhelming haemorrhage associated with clotting defects"
Juvenile Periodontitis,Dental/Oral Health,Tooth loss
Juvenile Periodontitis,Dental/Oral Health,Malocclusion
Juvenile Periodontitis,Dental/Oral Health,Temporomandibular Joint (TMJ) dysfunction syndrome
Leukaemia,Oncology,Worsening ill-health
Lichen Planus,Dermatological,20-nail dystrophy
Lichen Planus,Dermatological,"Rarely, squamous cell carcinoma of oral and hypertrophic lichen planus"
Lung Abscess,Respiratory,Cerebral abscess
Lung Abscess,Respiratory,Empyema
Lung Abscess,Respiratory,Amyloidosis
Lymphogranuloma Venereum,Infectious/Tropical,"Systemic spread of C. trachomatis in the secondary stage resulting in arthritis, pneumonia, hepatitis or rarely perihepatitis"
Lymphogranuloma Venereum,Infectious/Tropical,"Other rare systemic complications include pulmonary infection, cardiac involvement, aseptic meningitis, and ocular inflammatory disease"
Lymphogranuloma Venereum,Infectious/Tropical,The late stage may be complicated by the genito-anorectal syndrome
Lymphogranuloma Venereum,Infectious/Tropical,"Reported more in homosexual men, and women who engage in receptive anal intercourse"
Lymphogranuloma Venereum,Infectious/Tropical,"Patients may also complain of fever, pain, and tenesmus"
Lymphogranuloma Venereum,Infectious/Tropical,Obstructed labour from elephantiasis of the vulva
Mastoiditis,"ENT (Ear, Nose & Throat)",Spread of infection into cranial cavity with:
Mastoiditis,"ENT (Ear, Nose & Throat)",Extradural abscess
Mastoiditis,"ENT (Ear, Nose & Throat)",Meningitis
Mastoiditis,"ENT (Ear, Nose & Throat)",Brain abscess
Mastoiditis,"ENT (Ear, Nose & Throat)",Lateral sinus thrombophlebitis
Measles (Rubeola),Infectious/Tropical,Diarrhoea
Measles (Rubeola),Infectious/Tropical,Otitis media
Measles (Rubeola),Infectious/Tropical,Pneumonia
Measles (Rubeola),Infectious/Tropical,Laryngo-tracheobronchitis
Measles (Rubeola),Infectious/Tropical,Malnutrition
Measles (Rubeola),Infectious/Tropical,Encephalitis
Measles (Rubeola),Infectious/Tropical,Flaccid paralysis
Measles (Rubeola),Infectious/Tropical,Seizures or Blindness
Measles (Rubeola),Infectious/Tropical,Subacute sclerosing panencephalitis
Meningitis,Infectious/Tropical,Cranial nerve palsies notably blindness and deafness
Meningitis,Infectious/Tropical,Subdural pus collection (empyema)
Meningitis,Infectious/Tropical,Stroke (from vasculitis)
Meningitis,Infectious/Tropical,Epilepsy
Meningitis,Infectious/Tropical,Syndrome of Inappropriate Anti-Diuretic Hormone secretion (SIADH)
Migraines,Neurological/Mental,Most headache attacks are benign with no sequelae apart from reduced economic productivity/wastage of medications
Migraines,Neurological/Mental,The dreaded complication is coning from raised intracranial pressure
Migraines,Neurological/Mental,Blindness may follow temporal arteritis and unrelieved raised pressure in idiopathic intracranial hypertension (pseudotumour cerebri)
Migraines,Neurological/Mental,The risk of epilepsy is higher in those who suffer from migraine headache
Molluscum Contagiosum,Infectious/Tropical,Secondary bacterial infection
Myiasis,Dermatological,Secondary bacterial infection
Myocarditis,Cardiovascular,Cardiac failure
Myocarditis,Cardiovascular,Arrhythmias
Myocarditis,Cardiovascular,Thrombus formation
Malaria,Infectious/Tropical,Pneumonia
Malaria,Infectious/Tropical,Septicaemia
Malaria,Infectious/Tropical,Preterm contractions/preterm labour
Malaria,Infectious/Tropical,Abortions
Malaria,Infectious/Tropical,Low birth weight
Malaria,Infectious/Tropical,Intrauterine deaths
Malaria,Infectious/Tropical,Congenital malaria
Malaria,Infectious/Tropical,Hyperreactive malaria splenomegaly
Malaria,Infectious/Tropical,Quartan malaria nephropathy
Malaria,Infectious/Tropical,"Possibly, Burkitt's lymphoma"
Nasal Allergy,"ENT (Ear, Nose & Throat)",Chronic sinusitis
Nasal Allergy,"ENT (Ear, Nose & Throat)",Pharyngitis
Necrotizing Enterocolitis,Gastrointestinal,Intestinal perforation
Necrotizing Enterocolitis,Gastrointestinal,Strictures presenting with intestinal obstruction.
Necrotizing Enterocolitis,Gastrointestinal,Intestinal perforation
Necrotizing Enterocolitis,Gastrointestinal,Strictures presenting with intestinal obstruction
Nephrotic Syndrome,Renal/Urological,Peripheral arterial or venous thrombosis
Nephrotic Syndrome,Renal/Urological,Acceleration of atherosclerosis
Nephrotic Syndrome,Renal/Urological,Protein malnutrition
Nephrotic Syndrome,Renal/Urological,Vitamin D deficiency
Nephrotic Syndrome,Renal/Urological,Increased susceptibility to infections
Nephrotic Syndrome,Renal/Urological,Iron-resistant microcytic hypochromic anaemia
Non-Obstructive (Simple) Chronic Bronchitis (NCB),Respiratory,Mucopurulent relapses due to secondary bacterial infection
Non-Obstructive (Simple) Chronic Bronchitis (NCB),Respiratory,Progression to chronic obstructive airway disease
Obesity,Endocrine/Metabolic,"Gastrointestinal: Gallstones, pancreatitis, abdominal hernia, Non-Alcoholic Fatty Liver Disease, GERD"
Obesity,Endocrine/Metabolic,"Endocrinology/Metabolic: Metabolic syndrome, insulin resistance, impaired glucose tolerance, type 2 DM, dyslipidaemia, polycystic ovarian syndrome"
Obesity,Endocrine/Metabolic,"Cardiovascular: Hypertension, coronary artery disease, congestive heart failure, dysarrhythmia, pulmonary hypertension, stroke, venous stasis, deep venous thrombosis (DVT), pulmonary embolism, chronic kidney disease"
Obesity,Endocrine/Metabolic,"Respiratory: Abnormal pulmonary function, obstructive sleep apnoea, obesity hypoventilation syndrome"
Obesity,Endocrine/Metabolic,"Musculoskeletal: Osteoarthritis, gout, low back pain"
Obesity,Endocrine/Metabolic,"Gynaecologic: Menstrual irregularities, infertility"
Obesity,Endocrine/Metabolic,Genitourinary: Urinary stress incontinence
Obesity,Endocrine/Metabolic,Ophthalmologic: Cataracts
Obesity,Endocrine/Metabolic,Neurologic: Idiopathic intracranial hypertension
Obesity,Endocrine/Metabolic,"Cancers: Oesophagus, colon, gall bladder, cervix, breast, uterus, kidney, prostate"
Obesity,Endocrine/Metabolic,"Postoperative events: Atelectasis, pneumonia, DVT, pulmonary embolism"
Obesity,Endocrine/Metabolic,Cardiovascular: Coronary artery disease
Obesity,Endocrine/Metabolic,Stroke
Obesity,Endocrine/Metabolic,Congestive heart failure
Obesity,Endocrine/Metabolic,"Pulmonary: Obstructive sleep apnoea, 'Obesity hypoventilation syndrome'"
Obesity,Endocrine/Metabolic,Endocrine: Insulin resistance and type 2 diabetes mellitus
Obesity,Endocrine/Metabolic,Hepatobiliary: Gall stones
Onchocerciasis (River Blindness),Infectious/Tropical,Blindness
Ophthalmia Neonatorum,Paediatric,Corneal perforation
Ophthalmia Neonatorum,Paediatric,Endophthalmitis
Otitis Externa,"ENT (Ear, Nose & Throat)",Acute perichondritis
Osteoarthritis,Musculoskeletal,Joint deformity
Osteoarthritis,Musculoskeletal,Immobility
Osteoarthritis,Musculoskeletal,Joint subluxation
Osteoarthritis,Musculoskeletal,Obesity: depression/anxiety
Pancreatitis,Gastrointestinal,Hypovolaemic shock
Pancreatitis,Gastrointestinal,Multiple organ failure syndrome
Pancreatitis,Gastrointestinal,Acute renal and respiratory failure
Pancreatitis,Gastrointestinal,Abscess
Pancreatitis,Gastrointestinal,Phlegmons
Pancreatitis,Gastrointestinal,Gastrointestinal bleeding
Pancreatitis,Gastrointestinal,Electrolyte imbalance (hypo & hypercalcaemia)
Pancreatitis,Gastrointestinal,Pancreatic pseudocysts
Panic Disorder,Neurological/Mental,Phobia
Panic Disorder,Neurological/Mental,Depression
Panic Disorder,Neurological/Mental,Suicide
Parkinsonism,Neurological/Mental,"Recurrent falls with attendant complications e.g. fractures, subdural haematoma"
Parkinsonism,Neurological/Mental,Dementia
Parkinsonism,Neurological/Mental,Depression
Pediculosis (Lice),Dermatological,Secondary bacterial infection
Pediculosis (Lice),Dermatological,The body louse serves as a vector for diseases: Epidemic typhus (Rickettsia prowazekii)
Pediculosis (Lice),Dermatological,Trench fever (Bartonella quintana)
Pediculosis (Lice),Dermatological,Relapsing fever (Borrelia recurrentis)
Pelvic Inflammatory Diseases,Maternal/Reproductive,Pelvic abscess
Pelvic Inflammatory Diseases,Maternal/Reproductive,Septicaemia
Pelvic Inflammatory Diseases,Maternal/Reproductive,Chronic pelvic pain
Pelvic Inflammatory Diseases,Maternal/Reproductive,Ectopic gestation
Pelvic Inflammatory Diseases,Maternal/Reproductive,Infertility
Pelvic Inflammatory Diseases,Maternal/Reproductive,Fitz-Hugh-Curtis syndrome
Pelvic Inflammatory Diseases,Maternal/Reproductive,Recurrence (about 25% rates)
Peptic Ulcer Disease (PUD),Gastrointestinal,Upper gastrointestinal bleeding
Peptic Ulcer Disease (PUD),Gastrointestinal,Perforation
Peptic Ulcer Disease (PUD),Gastrointestinal,Penetration
Peptic Ulcer Disease (PUD),Gastrointestinal,Gastric outlet obstruction
Pericarditis,Cardiovascular,Pericardial tamponade
Pericarditis,Cardiovascular,Constrictive pericarditis
Pericoronitis,Dental/Oral Health,Cellulitis
Pericoronitis,Dental/Oral Health,Ludwig's angina
Pericoronitis,Dental/Oral Health,Osteomyelitis
Pericoronitis,Dental/Oral Health,Submasseteric abscess
Pericoronitis,Dental/Oral Health,Temporomandibular joint ankylosis
Peripheral Vascular Disease,Cardiovascular,Amputation
Peripheral Vascular Disease,Cardiovascular,Poor wound healing.
Peripheral Vascular Disease,Cardiovascular,Restricted mobility due to pain or discomfort.
Peripheral Vascular Disease,Cardiovascular,Severe pain in the affected extremity.
Peripheral Vascular Disease,Cardiovascular,Stroke
Peritonsillar Abscess (Quinsy),"ENT (Ear, Nose & Throat)",Septicaemia
Peritonsillar Abscess (Quinsy),"ENT (Ear, Nose & Throat)",Parapharyngeal suppuration/abscess
Pharyngitis (Sore Throat),"ENT (Ear, Nose & Throat)",More often related to the primary sources of irritation or infection
Pityriasis Versicolor (Tinea Versicolor),Dermatological,None usually; only of cosmetic significance
Pityriasis Versicolor (Tinea Versicolor),Dermatological,Malassezia furfur sepsis from contamination of the lipid-containing medium in immunocompromised patients receiving hyperalimentation through tubes
Pneumonia,Respiratory,Empyema thoracis
Pneumonia,Respiratory,Pleural effusion
Pneumonia,Respiratory,Lung abscess
Pneumonia,Respiratory,Lobar collapse
Pneumonia,Respiratory,Deep vein thrombosis and pulmonary embolism
Pneumonia,Respiratory,Pneumothorax
Pneumonia,Respiratory,ARDS
Pneumonia,Respiratory,Multi organ failure
Pneumonia,Respiratory,"Hepatitis, pericarditis, myocarditis, meningoencephalitis"
Pneumonia,Respiratory,Pyrexia from drug hypersensitivity
Poliomyelitis,Infectious/Tropical,Multiple intestinal erosions
Poliomyelitis,Infectious/Tropical,Acute gastric dilatation
Poliomyelitis,Infectious/Tropical,Hypertension
Poliomyelitis,Infectious/Tropical,Hypercalcaemia
Poliomyelitis,Infectious/Tropical,Nephrocalcinosis
Poliomyelitis,Infectious/Tropical,Vascular lesions
Poliomyelitis,Infectious/Tropical,Myocarditis
Poliomyelitis,Infectious/Tropical,Pulmonary oedema and Pulmonary embolism
Poliomyelitis,Infectious/Tropical,Paralysis of limbs
Poliomyelitis,Infectious/Tropical,Muscles of respiration and swallowing which can be fatal
Poliomyelitis,Infectious/Tropical,Multiple intestinal erosions
Poliomyelitis,Infectious/Tropical,Acute gastric dilatation
Poliomyelitis,Infectious/Tropical,Hypertension
Poliomyelitis,Infectious/Tropical,Hypercalcaemia
Poliomyelitis,Infectious/Tropical,Nephrocalcinosis
Poliomyelitis,Infectious/Tropical,Vascular lesions
Poliomyelitis,Infectious/Tropical,Myocarditis
Poliomyelitis,Infectious/Tropical,Pulmonary oedema
Poliomyelitis,Infectious/Tropical,Pulmonary embolism
Poliomyelitis,Infectious/Tropical,Paralysis of limbs
Poliomyelitis,Infectious/Tropical,Muscles of respiration and swallowing which can be fatal
Posterior Urethral Valves,Renal/Urological,Recurrent urinary tract infections
Posterior Urethral Valves,Renal/Urological,Septicaemia
Posterior Urethral Valves,Renal/Urological,Bladder dysfunction
Posterior Urethral Valves,Renal/Urological,Bladder stones
Posterior Urethral Valves,Renal/Urological,Hydroureter/hydronephrosis
Posterior Urethral Valves,Renal/Urological,Progressive renal impairment
Posterior Urethral Valves,Renal/Urological,Failure to thrive
Prevention and Control of Surgical Site Infection,Surgical/Emergency,Antibiotic misuse
Prevention and Control of Surgical Site Infection,Surgical/Emergency,Antibiotic resistance
Prevention and Control of Surgical Site Infection,Surgical/Emergency,Side effects of antibiotics (e.g. pseudomembranous colitis)
Prevention and Control of Surgical Site Infection,Surgical/Emergency,False sense of surgical security
Prevention of Blood Loss and Blood Transfusion in Surgery,Haematological,Immune reactions
Prevention of Blood Loss and Blood Transfusion in Surgery,Haematological,ABO incompatibility
Prevention of Blood Loss and Blood Transfusion in Surgery,Haematological,Rhesus incompatibility
Prevention of Blood Loss and Blood Transfusion in Surgery,Haematological,Febrile reactions
Prevention of Blood Loss and Blood Transfusion in Surgery,Haematological,Allergic reactions
Prevention of Blood Loss and Blood Transfusion in Surgery,Haematological,Reactions to plasma proteins
Prevention of Blood Loss and Blood Transfusion in Surgery,Haematological,Hyperkalaemia
Prevention of Blood Loss and Blood Transfusion in Surgery,Haematological,Citrate toxicity (hypocalcaemia)
Prevention of Blood Loss and Blood Transfusion in Surgery,Haematological,Bacteraemia
Prevention of Blood Loss and Blood Transfusion in Surgery,Haematological,Transfusion of parasites (e.g. malaria)
Prevention of Blood Loss and Blood Transfusion in Surgery,Haematological,"Transfusion of viruses (HIV, Hepatitis B, C, D)"
Prevention of Blood Loss and Blood Transfusion in Surgery,Haematological,Volume overload
Prevention of Blood Loss and Blood Transfusion in Surgery,Haematological,Air embolism
Prevention of Blood Loss and Blood Transfusion in Surgery,Haematological,Hypothermia
Prevention of Blood Loss and Blood Transfusion in Surgery,Haematological,Massive blood transfusion complications
Prevention of Blood Loss and Blood Transfusion in Surgery,Haematological,Volume overload
Prevention of Blood Loss and Blood Transfusion in Surgery,Haematological,Transfusion of old blood
Prevention of Blood Loss and Blood Transfusion in Surgery,Haematological,Electrolyte derangements (potassium and calcium)
Prevention of Blood Loss and Blood Transfusion in Surgery,Haematological,Transmission of infections
Prevention of Blood Loss and Blood Transfusion in Surgery,Haematological,Haemosiderosis
Prevention of Blood Loss and Blood Transfusion in Surgery,Haematological,Post transfusion purpura
Priapism,Renal/Urological,Erectile dysfunction
Prostatitis,Renal/Urological,Prostatic abscess
Prostatitis,Renal/Urological,Prostatic calculi
Prostatitis,Renal/Urological,Infertility
Prostatitis,Renal/Urological,Septicaemia
Pruritus,Dermatological,Sleep disturbance
Pruritus,Dermatological,"Less than optimal performance at home, work or school"
Pruritus,Dermatological,Emotional disturbance
Pruritus,Dermatological,Suicidal ideation
Psoriasis,Dermatological,Erythroderma
Psoriasis,Dermatological,Arthritis mutilans
Pulmonary Oedema,Respiratory,Hypoxaemia
Pulmonary Oedema,Respiratory,Coma
Pulmonary Tuberculosis,Infectious/Tropical,Lung collapse
Pulmonary Tuberculosis,Infectious/Tropical,Bronchiectasis
Pulmonary Tuberculosis,Infectious/Tropical,Chronic Obstructive Pulmonary Disease
Pulmonary Tuberculosis,Infectious/Tropical,Pleural effusion
Pulmonary Tuberculosis,Infectious/Tropical,Cor pulmonale
Pulmonary Tuberculosis,Infectious/Tropical,Destructive lung syndrome
Pulmonary Tuberculosis,Infectious/Tropical,Lung abscess
Pulmonary Tuberculosis,Infectious/Tropical,Acute Respiratory Distress Syndrome
Pulmonary Tuberculosis,Infectious/Tropical,Spontaneous Pneumothorax
Pulmonary Tuberculosis,Infectious/Tropical,Haemorrhage/Mycetoma
Pulpitis,Dental/Oral Health,Reversible pulpitis
Pulpitis,Dental/Oral Health,Irreversible pulpitis
Pulpitis,Dental/Oral Health,Pulpal necrosis
Pulpitis,Dental/Oral Health,Apical periodontitis
Pulpitis,Dental/Oral Health,Periapical abscess
Pulpitis,Dental/Oral Health,Cellulitis
Rheumatic Heart Disease,Cardiovascular,"Arrhythmias e.g. atrial fibrillation, heart block"
Rheumatic Heart Disease,Cardiovascular,Cardiac failure
Rheumatic Heart Disease,Cardiovascular,Embolic phenomena
Rheumatic Heart Disease,Cardiovascular,Endocarditis
Rheumatic Fever,Cardiovascular,Rheumatic heart disease
Rheumatic Fever,Cardiovascular,Arrhythmias
Rheumatic Fever,Cardiovascular,Cardiac failure
Scabies,Dermatological,Secondary bacterial infection leading to acute glomerulonephritis
Schizophrenia,Neurological/Mental,Chronicity
Schizophrenia,Neurological/Mental,Suicide
Schizophrenia,Neurological/Mental,Increased physical morbidity
Schizophrenia,Neurological/Mental,Increased mortality
Scleritis/Episcleritis,Ophthalmology,Thinning of the sclera
Scleritis/Episcleritis,Ophthalmology,Anterior staphyloma
Scleritis/Episcleritis,Ophthalmology,Scleral perforation
Seizures/Epilepsies,Neurological/Mental,Status epilepticus
Seizures/Epilepsies,Neurological/Mental,Cardiac arrhythmias
Seizures/Epilepsies,Neurological/Mental,Renal failure from myoglobinuria
Seizures/Epilepsies,Neurological/Mental,Anoxic brain damage and Sudden death
Septic Arthritis,Musculoskeletal,Septicaemia
Septic Arthritis,Musculoskeletal,Joint ankylosis
Sialadenitis,Dental/Oral Health,Meningitis
Sialadenitis,Dental/Oral Health,Pancreatitis
Sialadenitis,Dental/Oral Health,Otitis
Sialadenitis,Dental/Oral Health,Nephritis
Sialadenitis,Dental/Oral Health,Orchitis
Sialadenitis,Dental/Oral Health,Testicular atrophy
Sialadenitis,Dental/Oral Health,Sterility
Sickle Cell Disease,Haematological,"Kidneys: Hyposthenuria, Haematuria, Albuminuria, Reduced kidney function"
Sickle Cell Disease,Haematological,"Leg ulcers: Occur around the ankles, Heal slowly and tend to recur"
Sickle Cell Disease,Haematological,"Bones and Joints: Osteomyelitis, Avascular necrosis"
Sickle Cell Disease,Haematological,"Infections: Salmonella osteomyelitis, Pneumococcal pneumonia, Pneumococcal meningitis (rare in adolescents and adults), Tonsillitis and pharyngitis"
Sickle Cell Disease,Haematological,"Brain and nerves: Strokes, seizures (not common in adults), Meningitis (not common in adults), Cerebral haemorrhage, Mental neuropathy (rare)"
Sickle Cell Disease,Haematological,"Cardiovascular/respiratory: Heart failure, Pulmonary hypertension, Acute chest syndrome"
Sickle Cell Disease,Haematological,"Musculoskeletal system complications: Osteomyelitis – commonly staph aureus, Avascular necrosis of hip or shoulder joints, pathological fracture, Digital clubbing, Chronic leg ulcer – common in adolescents, affects the skin around the malleoli, heals slowly and recurs, Kyphosis, scoliosis, kyphoscoliosis"
Sickle Cell Disease,Haematological,"Hepatobiliary system Complications: Hepatomegaly, Hepatic coma – rare, Haemosiderosis – transfusion associated, Cholelithiasis – uncommon in Africa"
Sickle Cell Disease,Haematological,"Genito-urinary system complications: Hyposthenuria, polyuria, nocturia, enuresis – due to impaired urinary concentrating ability. Begins by 4-5years, Haematuria – usually from the left kidney, Proteinuria – early manifestation of sickle cell nephropathy, Bacteriuria – affects 22% of febrile SCD children, Pyelonephritis and Renal tubular acidosis"
Sickle Cell Disease,Haematological,"Cardiovascular system complications: Cardiomegaly – due to functional adaptation to chronic anaemia, CCF, Cor pulmonale"
Sickle Cell Disease,Haematological,"Respiratory system Complications: Pulmonary hypertension, Hypoxaemia – hallmark of pulmonary function abnormality in SCD, Reduced lung volume – Due to frequent pneumonia and reduced thoracic size"
Sickle Cell Disease,Haematological,"Central nervous system Complications: CVA, Seizures, Sensorineural hearing loss, Ocular lesions – anterior and posterior chamber lesions"
Sickle Cell Disease,Haematological,"Susceptibility to infection: Sepsis and other bacterial infections especially pneumonia, Haemophilus influenza, salmonella due to altered splenic function, Functional asplenia, Defective alternate pathway of complement activation, Elevated serum iron, Deranged pulmonary alveolar macrophage function from chronic hypoxia"
Sickle Cell Disease,Haematological,"Impaired psychosocial function: Physical, skeletal and sexual maturation problems, Societal attitude/discrimination, Frequent ill-health and hospitalization, School absenteeism, Role limitations, Loss of job, Persistent jaundice, Neurocognitive impairment, Academic performance, Parents and siblings psychological problems"
Sickle Cell Disease,Haematological,"Musculoskeletal: Osteomyelitis – commonly staph aureus, Avascular necrosis of hip or shoulder joints, pathological fracture, Digital clubbing, Chronic leg ulcer – common in adolescents, affects the skin around the malleoli, heals slowly and recurs, Kyphosis, scoliosis, kyphoscoliosis"
Sickle Cell Disease,Haematological,"Hepatobiliary: Hepatomegaly, Hepatic coma – rare, Haemosiderosis – transfusion associated, Cholelithiasis – uncommon in Africa"
Sickle Cell Disease,Haematological,"Genito-urinary: Hyposthenuria, polyuria, nocturia, enuresis – due to impaired urinary concentrating ability, Haematuria – usually from the left kidney, Proteinuria – early manifestation of sickle cell nephropathy, Bacteriuria – affects 22% of febrile SCD children, Pyelonephritis and Renal tubular acidosis"
Sickle Cell Disease,Haematological,"Cardiovascular: Cardiomegaly – due to functional adaptation to chronic anaemia, CCF, Cor pulmonale"
Sickle Cell Disease,Haematological,"Respiratory: Pulmonary hypertension, Hypoxaemia – hallmark of pulmonary function abnormality in SCD, Reduced lung volume – Due to frequent pneumonia and reduced thoracic size"
Sickle Cell Disease,Haematological,"Central nervous system: CVA, Seizures, Sensorineural hearing loss, Ocular lesions – anterior and posterior chamber lesions"
Sickle Cell Disease,Haematological,"Infections: Susceptibility to infection including sepsis and other bacterial infections especially pneumonia, Haemophilus influenza, salmonella due to Altered splenic function, Functional asplenia, Defective alternate pathway of complement activation, Elevated serum iron, Deranged pulmonary alveolar macrophage function from chronic hypoxia"
Sickle Cell Disease,Haematological,"Psychosocial: Impaired psychosocial function, physical, skeletal and sexual maturation problems, societal attitude/discrimination, frequent ill-health and hospitalization, school absenteeism, role limitations, loss of job, persistent jaundice, neurocognitive impairment, academic performance, psychological problems of parents and siblings"
Sinusitis,"ENT (Ear, Nose & Throat)",Orbital cellulitis (complicating ethmoidal sinusitis)
Sinusitis,"ENT (Ear, Nose & Throat)",Cavernous sinus thrombosis (sphenoidal sinusitis)
Sinusitis,"ENT (Ear, Nose & Throat)",Intracranial infection
Sinusitis,"ENT (Ear, Nose & Throat)",Subdural abscess
Sinusitis,"ENT (Ear, Nose & Throat)",Meningitis
Sinusitis,"ENT (Ear, Nose & Throat)",Cerebral abscess
Sinusitis,"ENT (Ear, Nose & Throat)",Dural vein thrombophlebitis
Sinusitis,"ENT (Ear, Nose & Throat)",Osteomyelitis of frontal or maxillary bones
Sinusitis,"ENT (Ear, Nose & Throat)",Chronic pharyngotonsillitis
Sinusitis,"ENT (Ear, Nose & Throat)",Chronic laryngitis and bronchitis
Snake Bite,Surgical/Emergency,Local and systemic bleeding
Snake Bite,Surgical/Emergency,Impairment of organ function
Snake Bite,Surgical/Emergency,Reduction of cardiac output
Snake Bite,Surgical/Emergency,Inhibition of peripheral nerve impulses
Snake Bite,Surgical/Emergency,Rhabdomyolysis
Snake Bite,Surgical/Emergency,Haemolysis
Snake Bite,Surgical/Emergency,Blood vessel damage
Snake Bite,Surgical/Emergency,Neurotoxic effects
Snake Bite,Surgical/Emergency,Secondary infection with Clostridium tetani
Snake Bite,Surgical/Emergency,Secondary infection with Clostridium welchii
"Stroke (Brain Attack, Cerebrovascular Disease, Apoplexy)",Neurological/Mental,"Short term: tentorial herniation with coning and death; cardiac arrhythmias, hyperglycaemia, aspiration pneumonitis with sepsis, urinary tract infections; deep vein thrombosis"
"Stroke (Brain Attack, Cerebrovascular Disease, Apoplexy)",Neurological/Mental,"Long term: decubitus ulcers, depression, epilepsy, dementia, parkinsonism, contractures, thalamic pain"
Stye (Hordeolum),Ophthalmology,Pre-septal cellulitis
Stye (Hordeolum),Ophthalmology,Orbital cellulitis
Stye (Hordeolum),Ophthalmology,Cavernous sinus thrombosis
Surgical Care,Surgical/Emergency,Deep vein thrombosis
Surgical Care,Surgical/Emergency,Atelectasis
Surgical Care,Surgical/Emergency,Sickling crises in patients with sickle cell anaemia
Surgical Care,Surgical/Emergency,"Postoperative pyrexia due to malaria, atelectasis, hypostatic pneumonia, wound infection, urinary tract infection"
Syncope (Fainting),Cardiovascular,Cerebral hypoxia/anoxia resulting in brain damage
Syncope (Fainting),Cardiovascular,Stroke
Syncope (Fainting),Cardiovascular,Sudden death
Syphilis,Infectious/Tropical,Phimosis and paraphimosis
Syphilis,Infectious/Tropical,"Late syphilis: gummatous, neurological and cardiovascular syphilis"
Tetanus,Infectious/Tropical,"Autonomic dysfunction - Labile or sustained hypertension, Tachycardia, Dysarrhythmias, Hyperpyrexia, Profuse sweating, Peripheral vasoconstriction, Cardiac arrest"
Tetanus,Infectious/Tropical,Aspiration pneumonia
Tetanus,Infectious/Tropical,Fractures
Tetanus,Infectious/Tropical,Muscle rupture
Tetanus,Infectious/Tropical,Deep vein thrombophlebitis
Tetanus,Infectious/Tropical,Pulmonary emboli
Tetanus,Infectious/Tropical,Decubitus ulcers
Tetanus,Infectious/Tropical,Rhabdomyolysis
The Empty Scrotum,Renal/Urological,Torsion of the spermatic cord
The Empty Scrotum,Renal/Urological,Trauma to the testis
The Empty Scrotum,Renal/Urological,Malignancy
The Empty Scrotum,Renal/Urological,Infertility
The Paralyzed Patient,Neurological/Mental,Deep vein thrombosis
The Paralyzed Patient,Neurological/Mental,Pulmonary embolism
The Paralyzed Patient,Neurological/Mental,Decubitus ulcers
The Paralyzed Patient,Neurological/Mental,Disuse atrophy
The Paralyzed Patient,Neurological/Mental,Contractures
The Paralyzed Patient,Neurological/Mental,Bulbar failure
The Unconscious Patient,Neurological/Mental,Cerebral hypoxia/anoxia resulting in brain damage
Thyrotoxicosis,Endocrine/Metabolic,Hyperthyroid crisis (thyroid storm)
Thyrotoxicosis,Endocrine/Metabolic,Tracheal compression
Thyrotoxicosis,Endocrine/Metabolic,Cardiac failure
Thyrotoxicosis,Endocrine/Metabolic,Loss of visual acuity
Thyrotoxicosis,Endocrine/Metabolic,Infertility
Thyrotoxicosis,Endocrine/Metabolic,Periodic paralysis
Tonsillitis,"ENT (Ear, Nose & Throat)",Quinsy: main common complication
Tonsillitis,"ENT (Ear, Nose & Throat)",Parapharyngeal infection/abscess
Tonsillitis,"ENT (Ear, Nose & Throat)",Rheumatic fever and nephritis following streptococcal tonsillitis
Torsion of the Testis,Renal/Urological,Testicular atrophy
Torsion of the Testis,Renal/Urological,Sympathetic orchidopathy
Torsion of the Testis,Renal/Urological,Abnormal sperm count
Torsion of the Testis,Renal/Urological,Infertility
Trachoma,Ophthalmology,Trichiasis
Trachoma,Ophthalmology,Entropion
Trachoma,Ophthalmology,Corneal scarring
Trichomoniasis,Infectious/Tropical,Acute salpingitis
Trichomoniasis,Infectious/Tropical,"Adverse pregnancy outcomes, particularly premature rupture of membranes, pre-term delivery and low birth weight"
Typhoid Fever (Enteric Fever),Infectious/Tropical,Neuropsychiatric symptoms
Typhoid Fever (Enteric Fever),Infectious/Tropical,Intestinal perforation
Typhoid Fever (Enteric Fever),Infectious/Tropical,Gastro-intestinal haemorrhage
Typhoid Fever (Enteric Fever),Infectious/Tropical,Pancreatitis
Typhoid Fever (Enteric Fever),Infectious/Tropical,Hepatitis
Typhoid Fever (Enteric Fever),Infectious/Tropical,Splenic abscesses
Typhoid Fever (Enteric Fever),Infectious/Tropical,Meningitis
Typhoid Fever (Enteric Fever),Infectious/Tropical,Nephritis
Typhoid Fever (Enteric Fever),Infectious/Tropical,Pneumonia
